url,title,genre,views,rating
https://www.webtoons.com/en/romance/letsplay/list?title_no=1218,Let's Play,Romance,616.9M,9.59
https://www.webtoons.com/en/romance/charming-you/list?title_no=4156,Charming You,Romance,1.4M,8.33
https://www.webtoons.com/en/romance/the-prenup/list?title_no=4006,The Prenup,Romance,3.4M,8.21
https://www.webtoons.com/en/romance/before-we-knew-it/list?title_no=1972,Before We Knew It,Romance,43.5M,8.76
https://www.webtoons.com/en/drama/no-longer-a-heroine/list?title_no=1264,No Longer A Heroine!,Drama,22M,9.36
https://www.webtoons.com/en/drama/back-to-you/list?title_no=2113,Back to You,Drama,33.5M,9.65
https://www.webtoons.com/en/action/neon-revenge/list?title_no=2510,Neon Revenge,Action,11.7M,9.66
https://www.webtoons.com/en/fantasy/watermelon/list?title_no=1435,Watermelon,Fantasy,61.9M,9.8
https://www.webtoons.com/en/action/manager-kim/list?title_no=3917,Manager Kim,Action,2.4M,9.78
https://www.webtoons.com/en/drama/a-whirlwind-campus-affair/list?title_no=4094,A Whirlwind Campus Affair,Drama,2.1M,9.53
https://www.webtoons.com/en/romance/secret-playlist/list?title_no=2395,Secret Playlist,Romance,27.8M,9.62
https://www.webtoons.com/en/sf/housekeeper/list?title_no=3479,Housekeeper,Sci-fi,1M,9.76
https://www.webtoons.com/en/fantasy/blood-of-the-butterfly/list?title_no=3162,The Blood of the Butterfly,Fantasy,9.5M,9.71
https://www.webtoons.com/en/romance/let-me-stay-over-tonight/list?title_no=2683,Let Me Stay Over Tonight!,Romance,10.8M,9.09
https://www.webtoons.com/en/romance/my-reason-to-die/list?title_no=3993,My Reason to Die,Romance,1.7M,9.66
https://www.webtoons.com/en/romance/a-chance-at-last/list?title_no=3909,A Chance At Last,Romance,2.9M,9.81
https://www.webtoons.com/en/tiptoon/drawing-on-heritage/list?title_no=4315,Drawing on Heritage,Informative,"525,727",8.32
https://www.webtoons.com/en/tiptoon/webtoon-now/list?title_no=2025,WEBTOON Now,Informative,43.3M,9.19
https://www.webtoons.com/en/tiptoon/lozolz/list?title_no=1268,ㄴㅇㄹㅇㄴㄹ,Informative,6.5M,8.83
https://www.webtoons.com/en/tiptoon/staying-healthy-together/list?title_no=1963,Staying Healthy Together,Informative,15.6M,9.75
https://www.webtoons.com/en/supernatural/third-shift-society/list?title_no=1703,Third Shift Society,Supernatural,11.1M,9.77
https://www.webtoons.com/en/horror/wolfsbane/list?title_no=1826,Wolfsbane,Horror,1.3M,9.68
https://www.webtoons.com/en/mystery/royale/list?title_no=2748,Royale,Mystery,"502,604",9.49
https://www.webtoons.com/en/horror/stagtown/list?title_no=2532,Stagtown,Horror,8.7M,9.81
https://www.webtoons.com/en/supernatural/la-tenebrosa-evelyne/list?title_no=3182,Evelyne and the Occult,Supernatural,9.2M,9.34
https://www.webtoons.com/en/mystery/betwixt/list?title_no=2962,Betwixt,Mystery,"456,819",9.67
https://www.webtoons.com/en/supernatural/time-and-time-again/list?title_no=3758,Time and Time Again,Supernatural,"445,472",9.46
https://www.webtoons.com/en/mystery/do-you-remember/list?title_no=2882,Do You Remember,Mystery,"492,809",9.02
https://www.webtoons.com/en/thriller/killstagram/list?title_no=1971,#Killstagram,Thriller,40M,9.32
https://www.webtoons.com/en/horror/everything-is-fine/list?title_no=2578,Everything is Fine,Horror,43.3M,9.75
https://www.webtoons.com/en/thriller/shiloh/list?title_no=1649,Shiloh,Thriller,13.6M,9.65
https://www.webtoons.com/en/supernatural/simon-sues/list?title_no=1619,Simon Sues,Supernatural,4.7M,9.14
https://www.webtoons.com/en/mystery/finality/list?title_no=1457,FINALITY,Mystery,"329,820",8.13
https://www.webtoons.com/en/mystery/varsity-noir/list?title_no=1613,Varsity Noir,Mystery,1.3M,9.46
https://www.webtoons.com/en/supernatural/sid/list?title_no=497,S.I.D.,Supernatural,27.2M,9.69
https://www.webtoons.com/en/thriller/hive/list?title_no=65,HIVE,Thriller,66.5M,9.66
https://www.webtoons.com/en/thriller/deep/list?title_no=364,DEEP,Thriller,5.1M,9.12
https://www.webtoons.com/en/thriller/grasp/list?title_no=2854,Grasp,Thriller,2.1M,9.52
https://www.webtoons.com/en/horror/dead-days/list?title_no=293,DEAD DAYS,Horror,15.4M,9.67
https://www.webtoons.com/en/thriller/live-forever/list?title_no=1312,Live Forever,Thriller,9.2M,9.43
https://www.webtoons.com/en/thriller/epilogue/list?title_no=2610,Epilogue,Thriller,1.4M,9.48
https://www.webtoons.com/en/horror/rot-and-ruin/list?title_no=1878,Rot & Ruin,Horror,13.4M,9.59
https://www.webtoons.com/en/thriller/the-cliff/list?title_no=80,The Cliff,Thriller,2.2M,9.32
https://www.webtoons.com/en/horror/beetle-hands/list?title_no=2247,Beetle Hands,Horror,2.6M,9.69
https://www.webtoons.com/en/horror/ghost-teller/list?title_no=1307,Ghost Teller,Horror,52.9M,9.86
https://www.webtoons.com/en/thriller/bite-me/list?title_no=1019,Bite Me,Thriller,35.7M,8.25
https://www.webtoons.com/en/thriller/delusion/list?title_no=2470,Delusion,Thriller,8.7M,9.79
https://www.webtoons.com/en/horror/witch-creek-road/list?title_no=1453,Witch Creek Road,Horror,21.7M,9.4
https://www.webtoons.com/en/thriller/forest-of-humans/list?title_no=2922,Forest of Humans,Thriller,2.8M,9.52
https://www.webtoons.com/en/thriller/rotten/list?title_no=2134,Rotten,Thriller,12.6M,9.68
https://www.webtoons.com/en/horror/elena/list?title_no=484,Elena,Horror,5.6M,9.52
https://www.webtoons.com/en/thriller/shriek/list?title_no=772,Shriek,Thriller,28M,9.75
https://www.webtoons.com/en/thriller/chiller/list?title_no=536,Chiller,Thriller,25.7M,9.61
https://www.webtoons.com/en/thriller/pigpen/list?title_no=2275,PIGPEN,Thriller,15.1M,9.74
https://www.webtoons.com/en/horror/the-vault-of-horror-a-collection-of-nightmares/list?title_no=295,The Vault of Horror: A Collection of Nightmares,Horror,8.6M,8.94
https://www.webtoons.com/en/thriller/all-of-us-are-dead/list?title_no=2810,All of Us Are Dead,Thriller,14.7M,9.28
https://www.webtoons.com/en/horror/distant-sky/list?title_no=75,Distant Sky,Horror,22.5M,9.59
